Unknown speaker,Survivor,Sigsbee,Politicians,Military personnel ,Journalists,Experts,"196 context hits for ""public"" / ""opinion"""
Accident,,,,,,,"internal explo sion . As to the oiigin of this explo sion , there is still a wide difference of opinion , but the coal bunker theory to day finds very many more strong sup porters than any other theo"
,,,,Undecided/Unclear,,,"miral Si- ' card telegraphed Secretary Long from Key West this afternoon as follows : `` In the opinion of Lieutenant John Hood of the Maine , who has just arrived from Havana , the Maine can never a"
Accident,,,,,,,"here i to-day , the divers have not made any | investigation of the wreck , and the gen j oral opinion expressed in Spanish circles 'is that the explosion occurred inside the | Maine . Captain-Gener"
Undecided/Unclear,,,,,,,"in preparing for the safety of the Vizcaya during her stay in this port , iif was asked for his opinion as to the cause of the explosion on the Maine . His reply was : `` 1 know the cause of the expl"
Suspend Opinion,,,,,,,"|we face the awful calamity that has overtaken us , when we should retain any expression of an opinion or our be- I lief as to how this awful disaster was j brought about , until , in a proper , reg"
,,,,Accident,,,"ation of design . Therefore , my impression has been all along , and I rather think the general opinion preponderates in the same di rection , that it must have been acci dental . `` At the Cabinet m"
,,,,,,Attack,"Sylvester Scovel . under to-day 's date from Havana , via Key West , gays : `` The concensus of opinion of those who have studied the wreck closely is now that the explosion was caused by a submarine"
Attack,,,,,,,"revailed at Havana , and at the time iof sailing the foreign population were [ generally of the opinion that the Maine I was destroyed tv design . They cited among other things in support of this i t"
,,Undecided/Unclear,,,,,"bo of the explosion is not known and Captain SIgsbee says lie Is not now prepared to express an opinion . The Spanish cruiser Alphonso XII was anchored near the Maine and saved 37 of the crew , SPAIN"
Attack,,,,,,,"in can assure the United States that the Spaniards had nothing te do with It . Many express tho opinion that a tor pedo wai exploded under the Maine . TERRIBLE DISASTER . The Battleship at the Bottom"
,,Undecided/Unclear,,,,,"t . Captain Slgsbee , in ills telegrams from Ha vana , states he is not prepared to ex press an opinion on this point . A telegram to Secretary Long from George Bronson iReavc , a newspaper conespond"
,,,,Undecided/Unclear,,,"t of which the horror may be Justly viewed . Secretary Long undoubtedly sum marized the general opinion of the majority of nayal men , In finding it impossible Just now to state the cause of the dest"
,,Attack,,,,,"would make such a hole as that de scribed . The report that Captain Slgsbee telegraphed as his opinion that the Maine was blown up by design Is flntly contradicted in Washington . Admiral SIcard tel"
Undecided/Unclear,,,,,,,"e from any external cause . He said , on the contrary , that he could not venture to express an opinion In the opinion of Lieutenant nood , of the Maine , who has just arrived from Havana , the Maine"
Undecided/Unclear,,,,,,,"rnal cause . He said , on the contrary , that he could not venture to express an opinion In the opinion of Lieutenant nood , of the Maine , who has just arrived from Havana , the Maine can never agai"
,,,,Undecided/Unclear,,,"cted . '' `` Barcelona . Feb. 17 . Lleutenant General Weyler , who arrived here , expressed the opinion that the dis aster which had befallen the United States , warship in Havana , was `` due to the"
Accident,,,,,,,"of such design . Therefore , my Impression has been .ill along , and I rather think the general opinion preponderates In the fame direction , that it must have been accidental `` The bodies of the vi"
,,,,,,Undecided/Unclear,"d that a naval Inquiry would have charge of all questions regarding tho loss of the Maine . The opinion of one of tho leading experts In the use of high explosives , Prof. Alger , of the ordenonce bu"
Undecided/Unclear,,,,,,,"Sigsbee and the officers here are very anxious for news from the United ytates as to the public opinion there . The captain has done all he can to calm excitement in the United States , and to Induce"
,,,,Undecided/Unclear,,,"oncerning tho disaster to the Maine I Captain Dickens chief or the navl 9 lion bureau eXI I the opinion tnoo nton that Ihe plolon took place II I a magozlnp on the Maine lie Ld this was evident for t"
,,,Accident,,,,"age to Washington saying lar that th disaster to the Maine WAS In disputably duo to on accident OPINION I WAI11111141TON I l4thelt Everything hidletilem tile UI tel tn be Aceldt1lingbee 10ot 10 Washi"
,,Suspend Opinion,,,,,"d few pieces of equipment still above water No one had other clothes than those upon him Public opinion should be suspended I till further reports All officers believ ed to be saved Jenkins and Merri"
,,,,,,Undecided/Unclear,"ght of which the horror may be justly viewed Secretary Long undoubtedly summar ized the general opinion of the major ity of the naval experts In finding It impossible just now to state the cause of t"
,,,,Undecided/Unclear,,,"s expectedthat this work will take some time and while there are officers II I who say in their opinion it wlll not be I possible owing to the probable dis rupted condition of the hull Sf the ship to"
,,,,Undecided/Unclear,,,"obable dis rupted condition of the hull Sf the ship to malic out the cause of thetexploslon the opinion of the majority islhat the I questionwill easily be settled by a sim ple observation of the con"
,,,Undecided/Unclear,,,,"e meager information at hand and the possible consequences therefore de I clined to express any opinion at this time tme I Senators and members of the house as a rule express the opinion for pub lica"
,,,Undecided/Unclear,,,,"express any opinion at this time tme I Senators and members of the house as a rule express the opinion for pub lication that the catastrophe was the result of accident and not of design but there we"
,,,Undecided/Unclear,,,,"tfotkI ytom i effect that the affair looked very mys terlous As a rule senators expressed I the opinion that the department would j and should make thorough investiga tion and added that for the pres"
,,,Undecided/Unclear,,,,"either to the hand of a foreigner or a member of our own forces I Senator Carter expressed the opinion i that no amount of investigation would clear up the mystery The explosion would leave no trace"
Undecided/Unclear,,,,,,,"convince the American people that the explosion was an accident He would not wish to express an opinion until further information was received OPINION OF NA V A OFFICERS Various Surmises Regarding Ca"
,,,Undecided/Unclear,,,,"explana tion Most of the members of the committee refused after the conference I to express any opinion concerning tho occurrence I is too serious to talk about at present said Senator Lodge I Senato"
Attack,,,,,,,"a vana Funeral of the Dead Sailors In the Cuban CapitalThe Wound ed at Key WestPreponderance of Opinion Inclines to Treachery On the Part of Spaniards Washington Feb 1iThe government has settled back"
,,,,Undecided/Unclear,,,"Feb 17 Admiral Sicard telegraphed Secretary Long from Key West this afternoon as follows In the opinion of Lieutenant John Hood of the Maine who has Just ar ived from Havana the Maine can never again"
Accident,,,,,,,"ts current here the report ivcrs hive not made any Investigation I if the wreck and the general opinion ex ressed in Spanish circles Is that the ex plosion occurred Inside the Maine u I o + lOUR DEAD"
Undecided/Unclear,,,,,,,"R Interment atHavana of the Victims of Maine Calamity ORIGIN OF TH EXPLOSION WIDE DIFFERENCE OF OPINION STILL EXISTING Coal Bunker Theory Finds More Strong Supporters Than Ote Some Think the Cause of"
Undecided/Unclear,,,,,,,"More Strong Supporters Than Ote Some Think the Cause of the Dis te te aster Will Never Be Known Opinion About Torpedoes Havana Feb 17Very elaborate preparations were made for the inter ment of the Ma"
,,,,Undecided/Unclear,,,"as to the appearance of the wreck or in the conflicting stories of the sur vivors to change the opinion of the majority of the officers stationed in the navy department that the Maine sunk as the res"
,,,,Undecided/Unclear,,,"of an Internal explosion As to the origin of this explosion there is still a wide difference of opinion but the coal bunker theory today finds very many more stiong supporteis tnuii any other theory"
Accident,,,,,,,"t many people in the United States be i lieve the explosion was accidental co i incide with the opinion held by the Spanish officials and the excitement which foowed the disaster has sub I sided into"
Accident,,,,,,,"cials and the excitement which foowed the disaster has sub I sided into quiet wnitins PROF AGES OPINION No Torpedo Could Produce An Explo sion Like That of Maine Washington Feb ISThe opinion of one o"
,,,,,,Undecided/Unclear,"ROF AGES OPINION No Torpedo Could Produce An Explo sion Like That of Maine Washington Feb ISThe opinion of one of the leading experts In the use of high explosives Professor Alger of the ordnance bur"
Suspend Opinion,,,,,,,"ion was due to an accident or was the deliberate work of Spanish assassins While reserving this opinion It is not necessary that the people should lose sight of other features that go to make the rel"
Attack,,,,,Accident,,"r and prepare for war . SUBMARINE MINE DID I PREPARATIONS fOR WAR Maine Was Wrecked By An Enemy OPINION FROM HAVANA World Correspondent Says the Magazines Were Not Exploded Middle Deck Was low Straig"
,,,,,,Attack,"World from Sylvester Scovel under todays date J from Havana via Key West says The concensus of opinion of those vvio have studied the wreck closely is I now that the explosion was caused by a submar"
Undecided/Unclear,,,,,,,"Sigsbee and all officers here are very anxious for news from the United States as to the tmblic opinion there The captain has done ail he can to calm the excitement in the United Plates and to Induce"
,,Suspend Opinion,,,,,"I night the followlntr advice contained In the telegram of Captain SiRsbee of the Maine Public opinion should be sus pended until further reports What was the cause of the disaster is not yot Knowh"
Attack,,,,,,,"ut or not The nature of the damage to the portside has not been fully settled but the weight of opinion seems to be that the hole was made by an external ex plosion IN THREE DAYS Captain Sigsbee thin"
Suspend Opinion,,,,,,,"of in terviews with him The first merely said I have consistently refrained from expressing any opinion of the Maine disaster Later in the day he wired No newspaper divers have been used on the wreck"
,,Suspend Opinion,,,,,"equipment . Vessel still above water . No one had other clothes than those upon him . `` Public opinion should be sus pended until further report . All the officers are believed to be saved . Jen kin"
,,,Attack,,,,"ere will be nojwar . '' WILD EXCITEMENT AT THE CAPITAL Nearly Everybody in Washington Is of the Opinion That Spain Has Proven Treacherous . `` WASHINGTON . Feb. 15.— News of the disaster at Havana sp"
,,Attack,,,,,"ge from Captain Sigsbee received by Secretary Long shortly after 9 a. m. to-day gives it as his opinion that the magazine of the Maine was blown up by a torpedo set by the Spanish , but urges the dep"
,,,,Attack,,,"ived . Every naval officer of any standing who has talked about the disaster declares it is his opinion that it was the result of design , and that no mere accident could have brought about such terr"
,,,Attack,,,,"ccident could have brought about such terrible consequences . Among the members of Congress the opinion is al most unanimous that the destruction of the Maine is due to treachery , and that the Ameri"
,,,Attack,,,,"bottom PRICE FIVE CENTS . of Havana harbor were sent there by Span ish hands . As a rule , the opinion at Washington is that the Maine was destroyed through Spanish connivance , and this opinion wil"
,,,Attack,,,,"the opinion at Washington is that the Maine was destroyed through Spanish connivance , and this opinion will be maintained until proof positive to the contrary can be adduced . Should it be shown tha"
,,,,Accident,,,"ade for the wounded from the Maine . I have asked several officers of the Maine what , in their opinion , caused the explosion and what they believed it to be . `` I do not believe it was a torpedo a"
,,,,Accident,,,"e it was a torpedo and I do not believe it was a mine , '' three who were willing to express an opinion at all said to me . Among their reasons for thinking so is the fact that neither a torpedo nor"
,,,,Suspend Opinion,,,"magazine being located aft . I had an interview with General Lee . who declined to express any opinion regarding the cause of the accident . He says no doubt an inquiry by experts will be held and t"
Suspend Opinion,,,,,,,"mea ger information at hand and the possi ble consequences , therefore declined to express any opinion at this time . Chairman Hltt of the Foreign Affairs ''ommittee , Chairman Dingley of the Ways a"
,,,Attack,,,,",a member of the Committee on Foreign Relations in the Senate during his service , was of the opinion that some bold man had gone aboard the Maine and placed a grenade with a slow match where it wo"
,,,Undecided/Unclear,,,,"n accident ; if from without , then no doubt it was by design . '' Senator Carter expressed the opinion that no amount of investigation would clear up the mystery . The explosion would leave no trace"
Suspend Opinion,,,,,,,"inite information as to the cause and results of the Maine catastrophe , I would not venture an opinion upon it . If it was an accident , as the first dispatches seem to indicate , it was most deplor"
Suspend Opinion,,,,,,,"nvince the American people that the explosion was an accident . He would not wish to express an opinion until further information was received . Representative Mercer of Nebraskn said this afternoon"
Suspend Opinion,,,,,,,"he explosion , whether from within or without the ship . He stated that probably no intelligent opinion could be formed until the divers make an examination of the ship . The position and fracture of"
,,,Attack,,,,"nt ? '' `` You are rather anticipating things , `` said the Senator , `` but I will give you my opinion . I think that if it is shown that a Spanish subject or a Spanish sympathizer was the perpetrat"
,,,,,,Undecided/Unclear,"ht of which the horror may be justly viewed . Secretary Long undoubtedly summarized the general opinion of the majority of the naval experts in finding it impossible just now to state the cause of th"
,,,,Undecided/Unclear,,,"xpected that this work will take some time , and while there are officers who say that in their opinion it will not be possible , owing to the probable disrupted condition of the hull of the ship , t"
,,,,Undecided/Unclear,,,"able disrupted condition of the hull of the ship , to make out the cause of the explosion , the opinion of the majority is that the question will be easily settled by a simple observation of the cond"
,,,,Suspend Opinion,,,"explanation . Most of the mem bers of the committee refused after the conference to express any opinion con cerning the occurrence . `` It is too serious to talk about at present , '' said Senator Lo"
,,,Attack,,,,"Feb. 16.— Some leading members of the Cuban Junta here and at Tampa say privately that in their opinion an investigation will show treachery in the Maine dis aster . `` You will recall that some time"
,,,Accident,,,,"nsibility is fixed the better . Among Federal officials and experts in the navy , the weight of opinion , based upon official advices and press dispatches , is that an internal explo sion , the exact"
Suspend Opinion,,,,,,,"the Spanish Government was in any way respon sible . It seemed to be the general con sensus of opinion among naval officers noted for their conservative views that the calamity resulted from an expl"
,,,,Suspend Opinion,,,"er Was the Spanish Cruiser Alfonso XII . Commander Dickins Chary of Giving Out an Expression of Opinion . Divers Must Examine the Wreck and . a Board of Inquiry Must Be Held . Special Dispatch to Th"
Undecided/Unclear,,,,,,,"erged . She drew twenty-two feet and sank In thirty-six feet of •water . ** `` What is your own opinion of the cause of the explosion ? ** `` You can guess as well as I can . and one guess is as good"
,,,Undecided/Unclear,,,,"General Daniel E. Sickles , former United States Minister to Spain , in his residence gave his opinion in regard to the disaster to the Maine : `` Assuming that the ex plosion occurred at the bow of"
,,,,Undecided/Unclear,,,"Theories to Ac count for the Maine Disaster . Rear -Admiral Kirkland Not Yet Ready to Hazard an Opinion . Say* the Cause of th « Catastrophe Will Be Known When Divers Examine the Hull . Special Dispa"
,,,,Suspend Opinion,,,"y kind reach ed the navy-yard to-day from head quarters at Washington . `` I can not express an opinion as to the cause of the disaster until I know something more definite , '' said Admiral Beardsle"
,,,,,,Attack,"re ceiving ship Independence , n*o has had much experience with high explosives , expresses the opinion that only a fa natic would have caused the explosion by igniting the powder magazine , and sacr"
Accident,,,,,,,"gniting the powder magazine , and sacrificing his own life with those of ; his victims . In his opinion , it is pos i sible the explosion may have been caused by decomposed gun-cotton . All ships car"
,,,,Suspend Opinion,,,"was the sloop-of-war which causes a chemical re action , when it is liable to explode . In the opinion of Captain Glass , Cap tain Sigsbee displayed excellent judg ment in the wording of his dispatc"
,,,,Suspend Opinion,,,"n Sigsbee displayed excellent judg ment in the wording of his dispatch to Washington to suspend opinion until a full report was received . Captain Glass says Sigsbee is a very careful officer , and w"
Attack,,,,,,,"reely . He said : `` I do not believe the blowing up of the Maine was an accident . I am of the opinion that the explosion was the result of outside work , and I am led to this conclusion from the co"
,,,,,Attack,,"ILLE Fla. , Feb. 17.— A special to the Times-Union and Citizen from Key West says : The general opinion of many persons here is that the Maine was hit by a torpedo , after which the maga zine explode"
,Attack,,,,,,"rst was not as severe as the second , which blew up the ship . Other sur vivors are of the same opinion that it was foul work . Martin Riordan , a submarine diver of Key West and a survivor of the Ma"
,Attack,,,,,,"e doors of the magazine and that the temperatui therein was cool at the time . The unanimity of opinion of all the survivors on this point would seem to be justified by the re quest of Captain .Sigsb"
Undecided/Unclear,,,,,,,"ter at Havana to the Maine . I am not sufficiently up on which to base a definite expression of opinion . Vague rumors are equally un certain and unreliable upon which to offer an expression touching"
,,,Undecided/Unclear,,,,"Feb . I '' .—Lieu tenant-General V ierland Wey ler , who arrived h < re to-day , ex pressed the opinion , in the course of an interview , that ; ! '.■■ lisaster which had befallen the United States w"
,,,,Undecided/Unclear,,,"for the south . He was in terviewed , with other officers in the department , and expressed the opinion , based entirely upon the information which had been furni.shed up to that time , that the disa"
,,,,Undecided/Unclear,,,"fied as to the precise cause of the loss of the great battleship until these experts give their opinion . While a number of the higher naval officials adhere to the opinion formed soon after hearing"
,,,,,,Undecided/Unclear,"l these experts give their opinion . While a number of the higher naval officials adhere to the opinion formed soon after hearing of the calamity , the majority of the naval officers in Wash ington a"
Attack,,,,,,,"nes the entire vessel would have disappeared in short order . There is a strong undercurrent of opinion in clined to accept the early theories that a torpedo or submarine mine , fired by an electric"
Undecided/Unclear,,,,,,,"ve no further information than has been | given out . I am not in a position to I form a better opinion than any one else with the same data at his command . I am still of the opinion I formed yes te"
Undecided/Unclear,,,,,,,"I form a better opinion than any one else with the same data at his command . I am still of the opinion I formed yes terday and which may be expressed by \ stating that I see nothing in the dis ! pat"
Undecided/Unclear,,,,,,,"nt force to penetrate the side of the Maine . Theor ies avail nothing , however , and I have no opinion as to what caused the ac cident . '' DESTROYED BY DESIGN . THE MAN WHO BUILT THE MAINE CAPTAIN"
Undecided/Unclear,,,,,,,"Maine raised so that all doubts may be set at rest . '' No man Is better prepared to express an opinion as to what caused the ex plosion that sunk the Maine than Cap tain Frank L. Fernald . but he is"
Accident,,,,,,,". You must remember that every one was even more upon the watch than usual . Now , I am of the opinion that the magazine certainly ex ploded — this was the forward one — and I do not believe that it"
Undecided/Unclear,,,,,,,"that is to be held , for in the mass of rumors and counter rumors it is hard to form a correct opinion as to the cause of the explo sion . From the appearance of the side of the vessel , whether her"
Undecided/Unclear,,,,,,,"be made and every fact brought to light is a proposition concerning which there can be only one opinion . Meantime final judgment will be held in abeyance . If the battleship was wrecked through an a"
,,,,,,Undecided/Unclear,"for such an emerg ency as might then be presented . Friends of the navy in Congress are of the opinion that whatever the cause of the disaster may have been they will be able . to secure the passage"
,,,Undecided/Unclear,,,,"ive Boutelle of Maine , chairman of the House Naval Committee , declares positively that in his opinion the destruction of the Maine , whether it was due to an accident or to a torpedo , should not s"
,,,,,,Undecided/Unclear,"anish battle-ship Vizcaya during her stay in this port . Lieutenant Sobral , when asked for his opinion as to the cause of the explosion on the Maine , replied : `` I know the cause of the explo sion"
Undecided/Unclear,,,,,,,"o go off on a mere detonation . The gun cotton in the rear magazine is yet intact . The general opinion is that the for ward magazines did not explode . A SUBMARINE BOAT TO VIEW THE WRECK . The Argon"
Accident,,,,,,,"that many people in the United States be lieve the explosion was accidental coin cide with the opinion held by the Span ish officials , and the excitement which followed the disaster has subsided in"
,,,Undecided/Unclear,,,,"ed to the lighthouse tender Fern . They absolutely refuse to talk on the subject or express any opinion . Consuls Barker and Brice arrived in Havana this evening . They had heard nothing of the disas"
,,,Undecided/Unclear,,,,"r. President : The Senator from Il linois , however inopportune it may be at this time , in the opinion of some of j us , might well have been permitted to 1 ass without comment , had it not been for"
,,,,,,Attack,"Havana . UNDOUBTEDLY DUE TO A TORPEDO Captain Brice , a Retired Naval Officer , Has a Positive Opinion as to the Loss of the Maine . WASHINGTON , Feb. IS.— Captain John J. Brice , a retired naval of"
,,,,,,Attack,"e , a retired naval offi cer , in speaking about the explosion on the Maine , gave the positive opinion that it was caused by a torpedo . He said he thought the inves tigation would prove this to be"
Suspend Opinion,,,,,,,"mature in Urging Accident Theory . Spaniards Are Charged Too Openly With Treachery for Public Opinion to Be Held in Check . Call Office , Riggs House , Washington , Feb. IS . . No new disclosures w"
,,,,,,Attack,"teract it this morning by fresh statements attributing the Maine dis aster to an accident . The opinion of Mr. Alger , an expert , was given out by the department to show that a torpedo could not hav"
,,,Suspend Opinion,,,,"oul play . Particularly active • efforts in that direction are being made - : ; to-day . In the opinion of Congress : rijen who are reserving Judgment until ■~ . the facts are known , the attitude of"
,,,Suspend Opinion,,,,"etary is liable to prove embar- V rassing , and official or semi-official ex ■ '' jpressiona of opinion should be re ; -served . In a semi-official way , they ■ `` say , the Secretary has already pas"
Accident,,,,,,,"explosion was not the result of foul play . The department is blamed for issuing a typewritten opinion and argument by Professor Alger , seeking to prove that the explosion cc-uld not have been caus"
,,,Undecided/Unclear,,,,"The purpose of the administration to prevent as far as possible the hasty forming of a pub lic opinion adverse to Spain is ap proved by the best men in official life in Washington , but an official"
,,,Accident,,,,"cond-class battle-shi.i > Maine was the result of an accident is shown both by the conservative opinion expressed to-day by Secretary Long and by or ders which have been issued to naval ships . After"
,,,Accident,,,,"on \ > t design . Therefore , my impression has been all along , and I rather think the general opinion pre ponderates In the same direction , that it must have been accidental . `` At the Cabinet me"
,,,,,,Attack,"Sylvester Scovel , under to-day 's date from Havana , via Key West , says : `` The consensus of opinion of those who have studied the wreck closely is now that the explosion was caused by a submarine"
,,Suspend Opinion,,,,,"Sigsbee and all officers here are very anxious for news from the United States as to the public opinion there . The captain has done all he can to calm the excitement in the United States and to indu"
Attack,,,,,,,"s in Havana . There is no disposition here to Jump at conclusions , and even those who hold the opinion that the Maine was blown up by a mine do not believe the au thorities were a party in the most"
,,Attack,,,,,"ing paper an alleged interview with Captain Sigsbee , cabled from Ha vana , stating that in his opinion the explosion was not accidental , Secre tary Long immediately wired him ask ing whether he had"
,,Undecided/Unclear,,,,,"retary Long to-night re ceived an answe*r from Captain Sigs bee saying that he had expressed no opinion as to the cause of the disaster . Secretary Long to-night repeated his declaration made yesterd"
,,,Attack,,,,"t that some Spaniard who knew how the wires lay `` touched the button . '' This seems to be the opinion of Sen ator Perkins of California , He says that as he is a mejnber of the Naval Affairs Commit"
Attack,,,,,,,"belief that the explosion was not accidental , but does not like to be quoted as declaring the opinion that it was the work of a Spaniard . The inference is plain , however , that this is his opinio"
Attack,,,,,,,"pinion that it was the work of a Spaniard . The inference is plain , however , that this is his opinion , and his friends say that he expects the ultimate result will be the commencement of hostiliti"
,,,Suspend Opinion,,,,"administration proposes to wait for the report of the court of in quiry before formulating any opinion as to the disaster , it may be impossible to prevent Congress from reaching a conclusion before"
,,,,Attack,,,"■ the , relations ' be tween . Spain and the United States . •• . V EXPLOSION WAS NOT ON BOARD Opinion of an Officer of the Survey-Boat Bache . Cipher Code-Book and the Log of the Maine Recovered by"
,,,Undecided/Unclear,,,,"which might precipitate a crisis . But whether the President and his advisers are really of the opinion that an accident caused the Maine 's destruc tion , or whether the officials wish to temporize"
,,,Undecided/Unclear,,,,"mittee of their respective houses , are unusually cautious and discreet in their expressions of opinion . But , however careful they may have been , it is known by their friends that they regard the"
Undecided/Unclear,,,,,,,"overnment in the matter . The disaster to the Maine has been widely commented upon , but public opinion as to the cause has not taken definite form . The public anxiously awaits the result of the Gov"
,Attack,,,,,,"DS One , of the -•Sailors 1 ' Who Survived the Explosion /_ . Does Not -Hesitate to Express Has Opinion .. of the Dastardly Treachery of ■the Dons , PROVIDENCE , R. 1. , Feb. 21.— A United States Ste"
Attack,,,,,,,"e to fifteen feet out of the water into the air . There was an explosion under the ship , in my opinion . An in stant later a second explosion occurred and then a third . It is my belief that the Mai"
Attack,,,,,,,"of those swimming about was quickly done , but some who were blown overboard were drowned . My opinion is that the magazines will be found intact , for I do n't think they ex ploded . There was on t"
,Attack,,,,,,"tangled mass of iron , steel and armor . In his different statements the sailor adheres to his opinion that the first explosion lifted the vessel high In the air , and he is confident that whoever p"
Attack,,,,,,,"t prevailed at Havana , and at the time of sailing the foreign population were generally of the opinion that the Maine was de stroyed by design . They cited , among other things in support of this th"
Attack,,,,,,,",it is evident from unguarded expressions heard in hotel corridors and in the streets that the opinion of foul play in connection with the blowing up of the war vessel is daily gaining ground in nav"
,,,Undecided/Unclear,,,,"shington will within a year be'added to our navy . '' Senator Morgan was asked whether . In his opinion , the destruction of the Maine would have a tendency to make Congress more liberal or more eco"
,,,Undecided/Unclear,,,,"d the principal topic of con versation by the senate committee on foreign relations today . The opinion Is generally expressed by the members , that the occurrence may result in grave complications u"
,,,Undecided/Unclear,,,,"mmittee of the house , all said they prefered to await further information before expressing an opinion . Ex-Senator Butler , of South Carolina , is of the opinion that some bold man had gone aboard"
,,,Attack,,,,"er information before expressing an opinion . Ex-Senator Butler , of South Carolina , is of the opinion that some bold man had gone aboard tho Milne and placed a grenade with a slow match whore it wo"
,,,,Undecided/Unclear,,,"s . Lieutenant Marls is the executive officer of the Vermont . Captain Nlgsbce has Kxpressed no Opinion . , Washington , Feb. 17 . Secretary Long positively denies that Captain Sigsbee lias In any wa"
,,,,Undecided/Unclear,,,"sitively denies that Captain Sigsbee lias In any way suppressed anv telegrams that expressed an opinion that a tor pedo caused the disaster or tliut it came from any external cause . The captain said"
,,,,Undecided/Unclear,,,"any external cause . The captain said on the contrary , that ho could not venture to express an opinion . Two Men of War to io to Cuban Waters , Dallas , Tex. , Feb. 17 . A private tele gram from Gal"
,,,,Accident,,,"ficers and men aboard tho warship Maine at the time of tho ex plosion . ' . It is tho universal opinion of all that tho explosion was duo to some interior cause , and not from the result of an ex plo"
,,,,Undecided/Unclear,,,"c card has telegraphed to Socretary Long irora Key west this alternooiv as fol lows : `` In the opinion of Lieutenant John Hood , of the Maine , who just arrivod from Havana , the Maine can never bo"
Accident,,,,,,,"Incident or our rela tions with Spain regardlug Cuba that will iSad to war . I am firmly of the opinion that the explosion of the Maine was duo to an accident , and I think , the naval court of inqui"
,,,Suspend Opinion,,,,"ir man of tho naval committee . Many other members of congress wore con tent to simply snv Hint opinion should be suspended until after the Investiga tion . Ex-Senator Butler thinks u bold man could"
Accident,,,,,,,"the Maine at the time of the explosion have been inter viewed , and that It Is their unanimous opinion that it was due to some inter ior cause and not the result of the ex plosion of the torpedo on"
,,,,Undecided/Unclear,,,"pedo on the outside . Admiral Sicard telegraphed Secretary Long from Key West today that in the opinion of Lieutenant John Hood , of the Maine , who had arrived from Ha vana , the Maine could never a"
Accident,,,,,,,"rent yester day , the divers have not yet made nny Investigation of the wreck , und the general opinion expressed In Spanish circles Is that the explosion occurred Inside the Mnlne . FUNERAL OF THE V"
Accident,,,,,,,"dication of design . There fore my Impression has been allowed , nnd I rather think the general opinion preponderates In the same direction , that It . must have been accidental . `` At the cabinet m"
Accident,,,,,,,"t that many people in the United States be lieve the explosion was accident coin cides with tho opinion held by the Spanish officials ; and the excitement which followed the disaster has sub sided in"
,,,,Undecided/Unclear,,,"Spanish battleship Vis caya during her stay In this port . Lieutenant Sobral was asked for his opinion as to the cause of the explo sion on the Maine . His reply was : `` I know the cause of the exp"
Suspend Opinion,,,,,,,"erviews with him . The first merely said : `` I have consistently refrained from exptesslng any opinion on the Maine disaster . '' Later In tho day he wired : `` No news paper divers havo beon used o"
Attack,,,,,,,"pite the utmost precaution that may be taken . EXCITEMENT AT HAVANA . Foreign Population ot the Opinion Tliut tlia iUuino Was Destroyed by Design . New York , Feb. 21 . The Ward line steamer Senguran"
Attack,,,,,,,"t excitement prevails at Havana and at the sailing the foreign population were generally of the opinion that the Maine was destroyed by design . They cited among other things in support of this theor"
,,,Accident,,,,"the hardihood to ob- Jotl . Robeit Todd Lincoln , former secre- taty of war , has advanced the opinion that Spain will In no way be responsi ble for the loss of the battleship Maine , in case It Is"
Suspend Opinion,,,,,,,"ect-a of equipment still above water . No ono had other clothes than those upon him . `` Public opinion should be suspend , d till furiher reports . `` All officers believed to be saved . Jen kins an"
Attack,,,,,,,"* > 7* Thinks the Battleship Maine Was Destroyed by a Torpedo . NO OTHER EXPLANATION . Positive Opinion Withheld Until the Government Can In vestigate Fully . Public Men Generally Fear That the Diand"
Attack,,,,,,,"jLI . thai the ~atas-trophe was the result of ac cident and rot of design , but there were = me opinion . * , generally expressed under the breith , with the adrr.on.t n net to pub lish . : `` effect"
,,,Undecided/Unclear,,,,"sh . : `` effect that the aff . ; .r locked very mysterious . As a rule Senators « • xpress the opinion j that the dopartm < nt would and should ; tnakt thorough investigation , and add that , for th"
,,,Undecided/Unclear,,,,"d army ought to be sum moned to take the matter up ir earnest . '' Senator Carter expressed the opinion that no amount of lnvesttg ttion would clear up the mystery . The explosion would leave no trac"
,,,,,,Accident,"WASHINGTON . F a . IS < `` ap ( . m , k ens . chief of the navigation bureau , ex - pressed the opinion t xlay that the explo si n took place in the magazine of the AD All S. 39c r & -lb Boxes A.Jr a"
Attack,,,,,,,"rbor to be the result of treachery and an act without parallel in the world 's history . In his opinion war must ln « vltably follow . `` When the divers- go down and examine th.- hul ! of the vessel"
Attack,,Suspend Opinion,,,,,"perts Refuse to Believe the Disaster Due to Acci dent—Capt . Sigsbee Yet Declines to Express an Opinion —Report That Evidences of a Torpedo Explosion Have Been Found—Naval Board Will Not Be Able to S"
Attack,,,,,,,"|ibM ha* t » > « rra : » h « -d the nary d » » . irtment . uatng the Knglfsh cipher that In hi* opinion the destruction of the Maine wa- the art of an enemy . Thle dsar > ateh ha* h < `` -n sup press"
Undecided/Unclear,,,,,,,"R men should statu ! together it Is now , when the sword is half out of the scablturd . Leading opinion of the Grand Army want # to know whether it was an accident or a dastardly crime . If It was an"
,,,,,Attack,,"Sylvester Scovel , under today 's date , from Havana , via Key West says : `` The consensus of opinion of those who have studied the wreck closely is now that the explosion was caused by a submarine"
,,Suspend Opinion,,,,,"g pieces of equipment Btlll above water . No one hud other clotheM than those upon him . Public opinion should he suspended until further report . All of ficers are believed to be saved . Jenkins and"
